name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
Brad Hodge,Australia,47,5.84018,batting-allrounder,right-handed-bat,right-arm-offbreak,4,183,26.14,127.08,0,9,7,21,1400,33.33,125.22,6,122,43,1,8.6,43.0,30.0,17,7.77,17.82,13.76,rajasthan-royals,2014,24000000
Rajat Bhatia,India,43,,bowling-allrounder,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,19,342,11.4,120.42,0,24,13,-,-,-,-,71,7.41,28.45,23.04,rajasthan-royals,2014,17000000
Tim Southee,New Zealand,33,,bowler,right-handed-bat,right-arm-fast-medium,18,261,10.88,139.57,0,18,16,7,120,9.23,112.15,0,8,4,134,8.16,23.46,17.25,45,8.53,36.96,26.0,rajasthan-royals,2014,12000000
Dhawal Kulkarni,India,33,,bowler,right-handed-bat,right-arm-fast-medium,1,1,0.0,100.0,0,0,0,14,104,11.56,96.3,0,7,2,3,6.88,18.33,16.0,86,8.31,28.77,20.78,rajasthan-royals,2014,11000000
Abhishek Nayar,India,39,,batting-allrounder,left-handed-bat,right-arm-medium,-,-,-,-,-,-,-,12,672,17.68,116.46,0,55,20,-,-,-,-,9,8.44,35.78,25.44,rajasthan-royals,2014,10000000
Kane Richardson,Australia,31,,bowler,right-handed-bat,right-arm-fast-medium,3,17,4.25,100.0,0,0,0,1,36,12.0,92.31,0,2,1,44,8.33,23.3,16.77,19,8.45,24.84,17.63,rajasthan-royals,2014,10000000
Ben Cutting,Australia,35,6.29952,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,40,10.0,148.15,0,2,3,6,238,21.64,168.79,0,15,19,3,10.24,71.67,42.0,10,9.16,42.9,28.1,rajasthan-royals,2014,8000000
Karun Nair,India,30,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,5,1496,23.75,127.75,10,161,39,-,-,-,-,-,-,-,-,rajasthan-royals,2014,7500000
Unmukt Chand,India,29,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,0,300,15.0,100.0,1,32,9,-,-,-,-,-,-,-,-,rajasthan-royals,2014,6500000
Iqbal Abdulla,India,32,,bowler,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,11,88,44.0,104.76,0,9,1,-,-,-,-,40,7.23,27.73,23.0,rajasthan-royals,2014,6500000
Deepak Hooda,India,27,,batting-allrounder,right-handed-bat,right-arm-offbreak,3,302,33.56,150.25,0,27,13,14,1236,20.26,132.05,7,77,56,5,4.58,9.0,11.8,10,8.61,50.1,34.9,rajasthan-royals,2014,4000000
Dishant Yagnik,India,39,,wk-batsman,left-handed-bat,,-,-,-,-,-,-,-,7,170,17.0,124.09,0,23,2,-,-,-,-,-,-,-,-,rajasthan-royals,2014,3000000
Kevon Cooper,West Indies,33,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,5,116,12.89,170.59,0,9,8,-,-,-,-,33,7.89,22.94,17.45,rajasthan-royals,2014,3000000
Vikramjeet Singh Malik,India,39,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,1,7,7.0,100.0,0,1,0,-,-,-,-,6,7.64,43.5,34.17,rajasthan-royals,2014,2000000
Rahul Tewatia,India,29,,batting-allrounder,left-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,17,738,25.45,130.39,1,57,35,-,-,-,-,32,7.92,34.25,25.94,rajasthan-royals,2014,1000000
Amit Mishra,India,40,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,25,362,11.68,93.06,0,29,5,16,6.32,15.0,14.25,166,7.35,23.95,19.55,rajasthan-royals,2014,1000000
Pravin Tambe,India,51,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,4,18,9.0,46.15,0,1,0,-,-,-,-,28,7.75,30.46,23.57,rajasthan-royals,2014,1000000
Yuvraj Singh,India,40,,batting-allrounder,left-handed-bat,left-arm-orthodox,9,1177,28.02,136.38,8,77,74,15,2750,24.77,129.72,13,217,149,28,7.06,17.82,15.14,36,7.44,29.92,24.14,royal-challengers-bangalore,2014,140000000
Mitchell Starc,Australia,32,6.43076,bowler,left-handed-bat,left-arm-fast,9,94,9.4,101.08,0,4,2,5,96,13.71,97.96,0,10,0,73,7.64,22.92,18.0,34,7.17,20.38,17.06,royal-challengers-bangalore,2014,50000000
Varun Aaron,India,33,,bowler,right-handed-bat,right-arm-fast,-,-,-,-,-,-,-,8,50,10.0,69.44,0,2,2,-,-,-,-,44,8.94,33.66,22.59,royal-challengers-bangalore,2014,20000000
Ashok Dinda,India,38,,bowler,right-handed-bat,right-arm-fast-medium,1,22,22.0,91.67,0,1,0,7,26,2.6,54.17,0,2,0,17,8.17,14.41,10.59,69,8.2,30.04,21.97,royal-challengers-bangalore,2014,15000000
Parthiv Patel,India,37,,wk-batsman,left-handed-bat,,0,36,18.0,112.5,0,4,1,11,2848,22.6,120.78,13,365,49,-,-,-,-,-,-,-,-,royal-challengers-bangalore,2014,14000000
Muttiah Muralitharan,Sri Lanka,50,5.7,bowler,right-handed-bat,right-arm-offbreak,0,1,0.5,20.0,0,0,0,3,20,3.33,66.67,0,1,0,13,6.32,22.85,21.69,63,6.68,26.92,24.19,royal-challengers-bangalore,2014,10000000
Ravi Rampaul,West Indies,38,,bowler,left-handed-bat,right-arm-fast-medium,5,15,7.5,51.72,0,0,0,2,51,10.2,102.0,0,3,2,31,8.38,25.9,18.55,14,6.82,21.29,18.71,royal-challengers-bangalore,2014,9000000
Nic Maddinson,Australia,30,,batsman,left-handed-bat,left-arm-orthodox,0,45,11.25,128.57,0,6,1,0,20,6.67,95.24,0,4,0,-,-,-,-,-,-,-,-,royal-challengers-bangalore,2014,5000000
Harshal Patel,India,32,,bowler,right-handed-bat,right-arm-fast-medium,4,77,12.83,135.09,0,9,3,14,230,10.45,129.21,0,15,13,27,9.13,27.0,17.74,97,8.4,22.87,16.34,royal-challengers-bangalore,2014,4000000
Vijay Zol,India,28,,batsman,left-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,0,29,14.5,111.54,0,3,1,-,-,-,-,-,-,-,-,royal-challengers-bangalore,2014,3000000
Sachin Rana,India,38,,batting-allrounder,right-handed-bat,,-,-,-,-,-,-,-,4,91,22.75,112.35,0,9,1,-,-,-,-,0,6.75,0.0,0.0,royal-challengers-bangalore,2014,2000000
Shadab Jakati,India,42,,bowler,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,7,28,28.0,96.55,0,3,0,-,-,-,-,47,8.02,30.87,23.09,royal-challengers-bangalore,2014,2000000
Sandeep Warrier,India,31,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7.67,0.0,0.0,2,7.88,67.0,51.0,royal-challengers-bangalore,2014,1000000
Tanmay Mishra,India,35,,batsman,right-handed-bat,right-arm-fast-medium,0,227,15.13,86.31,0,15,4,-,-,-,-,-,-,-,3,6.8,11.33,10.0,-,-,-,-,royal-challengers-bangalore,2014,1000000
Yogesh Takawale,India,38,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,2,192,24.0,107.87,0,26,3,-,-,-,-,-,-,-,-,royal-challengers-bangalore,2014,1000000
Yuzvendra Chahal,India,32,,bowler,right-handed-bat,right-arm-legbreak,2,5,2.5,45.45,0,0,0,13,37,5.29,43.02,0,0,0,87,8.14,24.78,18.28,166,7.61,21.83,17.2,royal-challengers-bangalore,2014,1000000
David Warner,Australia,36,5.5777,batsman,left-handed-bat,right-arm-legbreak,11,2894,32.89,141.31,24,296,105,22,5881,42.01,140.69,55,578,215,-,-,-,-,0,0.0,0.0,0.0,sunrisers-hyderabad,2014,55000000
Amit Mishra,India,40,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,25,362,11.68,93.06,0,29,5,16,6.32,15.0,14.25,166,7.35,23.95,19.55,sunrisers-hyderabad,2014,47500000
Bhuvneshwar Kumar,India,32,,bowler,right-handed-bat,right-arm-fast-medium,13,67,8.38,71.28,0,0,0,28,241,8.31,96.4,0,23,3,90,6.96,23.1,19.9,154,7.3,25.79,21.18,sunrisers-hyderabad,2014,42500000
Aaron Finch,Australia,36,5.70894,batsman,right-handed-bat,left-arm-orthodox,12,3120,34.29,142.53,19,309,125,6,2091,24.89,128.2,15,214,78,0,13.5,0.0,0.0,1,9.35,67.0,43.0,sunrisers-hyderabad,2014,40000000
Karn Sharma,India,35,,bowler,left-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,14,317,15.1,115.69,0,18,14,1,7.0,28.0,24.0,59,7.91,27.29,20.71,sunrisers-hyderabad,2014,37500000
Daren Sammy,West Indies,38,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,sunrisers-hyderabad,2014,35000000
Ishant Sharma,India,34,,bowler,right-handed-bat,right-arm-fast-medium,2,8,8.0,88.89,0,1,0,19,55,9.17,90.16,0,4,2,8,8.63,50.0,34.75,72,8.12,37.51,27.74,sunrisers-hyderabad,2014,26000000
Irfan Pathan,India,38,,bowling-allrounder,left-handed-bat,left-arm-fast-medium,7,172,24.57,119.44,0,9,7,29,1139,21.49,120.4,1,87,37,28,8.03,22.07,16.5,80,7.78,33.11,25.54,sunrisers-hyderabad,2014,24000000
Moises Henriques,Australia,35,6.135470000000001,batting-allrounder,right-handed-bat,right-arm-fast-medium,4,355,20.88,124.56,2,17,15,18,1000,27.78,126.9,5,87,28,7,8.43,27.71,19.71,42,8.14,30.69,22.62,sunrisers-hyderabad,2014,10000000
Lokesh Rahul,India,30,,wk-batsman,right-handed-bat,,8,2265,37.75,139.13,22,191,99,19,3889,48.01,136.22,31,327,164,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2014,10000000
Parvez Rasool,India,33,,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,5,5.0,83.33,0,0,0,3,17,8.5,85.0,0,1,0,1,8.0,32.0,24.0,4,8.21,67.75,49.5,sunrisers-hyderabad,2014,9500000
Jason Holder,West Indies,31,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,9,385,15.4,120.69,0,23,21,5,247,13.0,124.12,0,13,17,51,8.17,26.86,19.73,49,8.57,24.02,16.82,sunrisers-hyderabad,2014,7500000
Venugopal Rao,India,40,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,10,985,22.39,117.82,3,77,37,-,-,-,-,6,9.36,56.17,36.0,sunrisers-hyderabad,2014,5500000
Naman Ojha,India,39,,wk-batsman,right-handed-bat,,0,12,6.0,44.44,0,2,0,19,1554,20.72,118.35,6,121,79,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2014,5000000
Prasanth Parameswaran,India,37,,bowler,right-handed-bat,left-arm-medium,-,-,-,-,-,-,-,2,1,0.0,50.0,0,0,0,-,-,-,-,9,8.73,24.89,17.11,sunrisers-hyderabad,2014,3000000
Amit Paunikar,India,34,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,0,49,12.25,85.96,0,9,0,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2014,2000000
Ashish Reddy,India,31,,bowling-allrounder,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,8,280,18.67,145.08,0,17,14,-,-,-,-,18,9.07,22.0,14.56,sunrisers-hyderabad,2014,2000000
Srikkanth Anirudha,India,35,,batsman,right-handed-bat,,-,-,-,-,-,-,-,5,136,17.0,120.35,1,9,7,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2014,2000000
Ricky Bhui,India,26,,batsman,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,0,7,3.5,41.18,0,0,0,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2014,1000000
Manprit Juneja,India,32,,batting-allrounder,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,0,125,17.86,97.66,0,11,1,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2014,1000000
Michael Hussey,Australia,47,5.9058,batsman,left-handed-bat,right-arm-medium,11,721,37.95,136.29,4,58,25,7,1977,38.76,122.64,15,198,52,0,5.0,0.0,0.0,-,-,-,-,chennai-super-kings,2015,15000000
Irfan Pathan,India,38,,bowling-allrounder,left-handed-bat,left-arm-fast-medium,7,172,24.57,119.44,0,9,7,29,1139,21.49,120.4,1,87,37,28,8.03,22.07,16.5,80,7.78,33.11,25.54,chennai-super-kings,2015,15000000
Rahul Sharma,India,35,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,6,66,4.71,88.0,0,5,3,3,7.64,18.67,14.67,40,7.02,27.15,23.2,chennai-super-kings,2015,3000000
Kyle Abbott,South Africa,35,,bowler,right-handed-bat,right-arm-fast-medium,4,23,11.5,115.0,0,2,0,2,13,13.0,162.5,0,0,1,26,7.97,22.27,16.77,2,11.06,88.5,48.0,chennai-super-kings,2015,3000000
Andrew Tye,Australia,35,,bowler,right-handed-bat,right-arm-fast-medium,7,83,10.38,109.21,0,5,4,4,91,10.11,119.74,0,6,5,47,8.76,21.21,14.53,42,8.59,23.31,16.29,chennai-super-kings,2015,2000000
Eklavya Dwivedi,India,34,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,0,24,12.0,171.43,0,2,2,-,-,-,-,-,-,-,-,chennai-super-kings,2015,1000000
Yuvraj Singh,India,40,,batting-allrounder,left-handed-bat,left-arm-orthodox,9,1177,28.02,136.38,8,77,74,15,2750,24.77,129.72,13,217,149,28,7.06,17.82,15.14,36,7.44,29.92,24.14,delhi-capitals,2015,160000000
Angelo Mathews,Sri Lanka,35,,batting-allrounder,right-handed-bat,right-arm-fast-medium,18,1148,25.51,117.74,5,73,38,11,724,23.35,125.91,1,44,29,38,7.0,31.58,27.08,27,8.18,39.96,29.3,delhi-capitals,2015,75000000
Zaheer Khan,India,44,,bowler,right-handed-bat,left-arm-fast-medium,2,13,6.5,130.0,0,0,1,18,117,8.36,82.98,0,11,2,17,7.64,26.35,20.71,102,7.59,27.27,21.57,delhi-capitals,2015,40000000
Amit Mishra,India,40,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,25,362,11.68,93.06,0,29,5,16,6.32,15.0,14.25,166,7.35,23.95,19.55,delhi-capitals,2015,35000000
Shreyas Iyer,India,27,,batsman,right-handed-bat,right-arm-legbreak,11,1043,30.68,135.98,7,85,42,13,2776,31.55,125.38,19,237,99,0,0.0,0.0,0.0,0,7.0,0.0,0.0,delhi-capitals,2015,26000000
Gurinder Sandhu,Australia,29,,bowler,left-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10.25,82.0,48.0,delhi-capitals,2015,17000000
Jaydev Unadkat,India,31,,bowler,right-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,14,164,13.67,123.31,0,13,6,14,8.68,21.5,14.86,91,8.79,30.53,20.84,delhi-capitals,2015,11000000
Travis Head,Australia,28,,batting-allrounder,left-handed-bat,right-arm-offbreak,3,345,26.54,133.2,0,22,11,3,205,29.29,138.51,1,12,8,1,9.33,56.0,36.0,2,10.12,40.5,24.0,delhi-capitals,2015,3000000
Marcus Stoinis,Australia,33,,batting-allrounder,right-handed-bat,right-arm-medium,15,803,29.74,147.34,2,69,35,18,1070,26.1,137.36,4,83,48,18,8.61,34.11,23.78,34,9.61,30.82,19.24,delhi-capitals,2015,2500000
CM Gautam,India,36,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,3,169,16.9,112.67,0,17,6,-,-,-,-,-,-,-,-,delhi-capitals,2015,2000000
Murali Vijay,India,38,,batsman,right-handed-bat,right-arm-offbreak,0,169,18.78,109.74,0,13,8,5,2619,25.93,121.87,13,247,91,0,4.5,0.0,0.0,0,8.17,0.0,0.0,punjab-kings,2015,30000000
Nikhil Naik,India,28,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,0,31,7.75,62.0,0,2,0,-,-,-,-,-,-,-,-,punjab-kings,2015,3000000
KC Cariappa,India,28,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,2,24,8.0,114.29,0,0,2,-,-,-,-,8,9.67,43.5,27.0,kolkata-knight-riders,2015,24000000
James Neesham,New Zealand,32,,batting-allrounder,left-handed-bat,right-arm-medium,17,688,22.19,159.63,0,49,41,1,92,10.22,98.92,0,6,2,25,9.13,30.12,19.8,8,9.28,41.75,27.0,kolkata-knight-riders,2015,5000000
Brad Hogg,Australia,51,6.004230000000001,bowler,left-handed-bat,left-arm-chinaman,0,55,13.75,141.03,0,3,3,3,22,7.33,100.0,0,1,0,7,7.61,53.29,42.0,23,7.47,24.78,19.91,kolkata-knight-riders,2015,5000000
Sheldon Jackson,India,36,,wk-batsman,right-handed-bat,,-,-,-,-,-,-,-,2,61,10.17,107.02,0,5,1,-,-,-,-,-,-,-,-,kolkata-knight-riders,2015,1500000
Sumit Narwal,India,40,,batting-allrounder,left-handed-bat,right-arm-medium,-,-,-,-,-,-,-,1,37,12.33,137.04,0,6,0,-,-,-,-,5,11.43,40.4,21.2,kolkata-knight-riders,2015,1000000
Aaron Finch,Australia,36,5.70894,batsman,right-handed-bat,left-arm-orthodox,12,3120,34.29,142.53,19,309,125,6,2091,24.89,128.2,15,214,78,0,13.5,0.0,0.0,1,9.35,67.0,43.0,mumbai-indians,2015,32000000
Pragyan Ojha,India,36,,bowler,left-handed-bat,left-arm-orthodox,1,10,0.0,166.67,0,0,1,11,16,1.33,35.56,0,0,0,10,6.29,13.2,12.6,89,7.37,26.2,21.34,mumbai-indians,2015,5000000
Abhimanyu Mithun,India,33,,bowler,right-handed-bat,right-arm-medium,-,-,-,-,-,-,-,3,34,6.8,130.77,0,4,1,-,-,-,-,7,9.83,67.43,41.14,mumbai-indians,2015,3000000
Mitchell McClenaghan,New Zealand,36,,bowler,left-handed-bat,left-arm-fast-medium,4,24,6.0,104.35,0,1,2,11,85,6.54,121.43,0,5,7,30,7.79,26.3,20.27,71,8.49,25.39,17.94,mumbai-indians,2015,3000000
Aiden Blizzard,Australia,38,,batsman,left-handed-bat,left-arm-medium,-,-,-,-,-,-,-,0,120,17.14,133.33,1,21,2,-,-,-,-,-,-,-,-,mumbai-indians,2015,3000000
Hardik Pandya,India,29,,batting-allrounder,right-handed-bat,right-arm-fast-medium,16,1160,25.78,146.1,3,81,62,35,1963,30.2,147.59,8,146,110,62,8.32,27.34,19.73,50,8.75,30.7,21.04,mumbai-indians,2015,1000000
Nitish Rana,India,28,,batsman,left-handed-bat,right-arm-offbreak,0,15,7.5,55.56,0,0,0,7,2181,27.96,134.22,15,190,111,-,-,-,-,7,8.36,25.29,18.14,mumbai-indians,2015,1000000
Siddhesh Lad,India,30,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,0,15,15.0,115.38,0,1,1,-,-,-,-,-,-,-,-,mumbai-indians,2015,1000000
Jagadeesha Suchith,India,28,,bowler,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,6,70,17.5,114.75,0,6,3,-,-,-,-,19,8.6,31.68,22.11,mumbai-indians,2015,1000000
Chris Morris,South Africa,35,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.39,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,rajasthan-royals,2015,14000000
Dinesh Salunkhe,India,40,,batting-allrounder,right-handed-bat,,-,-,-,-,-,-,-,1,33,16.5,137.5,0,5,0,-,-,-,-,1,9.75,78.0,48.0,rajasthan-royals,2015,1000000
Pardeep Sahu,India,37,,batting-allrounder,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,1,19,19.0,146.15,0,1,1,-,-,-,-,3,8.34,48.67,35.0,rajasthan-royals,2015,1000000
Dinesh Karthik,India,37,,wk-batsman,right-handed-bat,,22,686,26.38,142.62,1,71,28,45,4376,26.85,132.65,20,426,134,0,18.0,0.0,0.0,-,-,-,-,royal-challengers-bangalore,2015,105000000
Daren Sammy,West Indies,38,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,royal-challengers-bangalore,2015,28000000
David Wiese,South Africa,37,,batting-allrounder,right-handed-bat,right-arm-fast-medium,10,453,22.65,125.83,2,28,18,4,127,31.75,141.11,0,12,4,41,7.42,24.05,19.44,16,8.68,25.12,17.38,royal-challengers-bangalore,2015,28000000
Sean Abbott,Australia,30,,bowling-allrounder,right-handed-bat,right-arm-medium,1,17,8.5,100.0,0,1,1,0,22,7.33,122.22,0,1,2,5,8.22,37.8,27.6,1,11.56,104.0,54.0,royal-challengers-bangalore,2015,10000000
Adam Milne,New Zealand,30,,bowler,right-handed-bat,right-arm-fast,9,39,13.0,100.0,0,1,2,2,23,5.75,79.31,0,0,1,36,7.85,26.33,20.14,7,9.48,46.71,29.57,royal-challengers-bangalore,2015,7000000
S Badrinath,India,42,,batsman,right-handed-bat,right-arm-offbreak,0,43,43.0,116.22,0,5,0,20,1441,30.66,118.89,11,154,28,-,-,-,-,-,-,-,-,royal-challengers-bangalore,2015,3000000
Jalaj Saxena,India,35,,batting-allrounder,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9.0,0.0,0.0,royal-challengers-bangalore,2015,1000000
Trent Boult,New Zealand,33,,bowler,right-handed-bat,left-arm-fast-medium,7,32,6.4,76.19,0,2,0,13,53,10.6,110.42,0,2,2,74,7.86,22.26,16.99,92,8.3,26.9,19.45,sunrisers-hyderabad,2015,38000000
Praveen Kumar,India,36,,bowler,right-handed-bat,right-arm-fast-medium,0,7,2.33,43.75,0,0,0,21,340,8.95,108.28,0,22,17,8,7.42,24.12,19.5,90,7.73,36.12,28.04,sunrisers-hyderabad,2015,22000000
Kevin Pietersen,England,42,6.4,batsman,right-handed-bat,right-arm-offbreak,5,1176,37.94,141.52,7,119,32,8,1001,35.75,134.72,4,91,40,1,10.6,53.0,30.0,7,7.41,30.71,24.86,sunrisers-hyderabad,2015,20000000
Eoin Morgan,England,36,5.9,batsman,left-handed-bat,right-arm-medium,20,2458,28.58,136.18,14,186,120,13,1405,22.66,122.6,5,112,64,-,-,-,-,-,-,-,-,sunrisers-hyderabad,2015,15000000
Ravi Bopara,England,37,5.1,batting-allrounder,right-handed-bat,right-arm-medium,10,711,28.44,118.7,3,54,17,4,531,29.5,117.22,3,39,16,16,7.21,24.19,20.12,11,8.5,26.55,18.73,sunrisers-hyderabad,2015,10000000
Kane Williamson,New Zealand,32,,batsman,right-handed-bat,right-arm-offbreak,11,2464,33.3,122.89,17,230,57,17,2101,36.22,126.03,18,181,64,6,8.34,27.33,19.67,0,10.33,0.0,0.0,sunrisers-hyderabad,2015,6000000
Hanuma Vihari,India,29,,batting-allrounder,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,3,284,14.2,88.47,0,23,1,-,-,-,-,1,6.71,47.0,42.0,sunrisers-hyderabad,2015,1000000
Siddarth Kaul,India,32,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,8,20,5.0,55.56,0,1,0,4,8.69,21.0,14.5,58,8.63,29.98,20.84,sunrisers-hyderabad,2015,1000000
Pawan Negi,India,29,,bowling-allrounder,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,delhi-capitals,2016,85000000
Chris Morris,South Africa,35,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.39,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,delhi-capitals,2016,70000000
Sanju Samson,India,28,,wk-batsman,right-handed-bat,,1,296,21.14,135.16,1,23,13,13,3526,29.14,135.72,17,279,158,-,-,-,-,-,-,-,-,delhi-capitals,2016,42000000
Carlos Brathwaite,West Indies,34,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,310,14.76,113.14,0,13,22,1,181,13.92,163.06,0,10,16,31,8.57,32.68,22.87,13,8.95,29.15,19.54,delhi-capitals,2016,42000000
Karun Nair,India,30,,batsman,right-handed-bat,right-arm-offbreak,-,-,-,-,-,-,-,5,1496,23.75,127.75,10,161,39,-,-,-,-,-,-,-,-,delhi-capitals,2016,40000000
Rishabh Pant,India,25,,wk-batsman,left-handed-bat,,12,987,22.43,126.54,3,86,37,15,2838,34.61,147.97,15,260,129,-,-,-,-,-,-,-,-,delhi-capitals,2016,19000000
Sam Billings,England,31,,wk-batsman,right-handed-bat,,5,478,17.07,129.89,2,41,16,1,503,19.35,129.64,3,40,20,-,-,-,-,-,-,-,-,delhi-capitals,2016,3000000
Mahipal Lomror,India,23,,batting-allrounder,left-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,2,267,20.54,128.37,0,15,13,-,-,-,-,1,7.67,92.0,72.0,delhi-capitals,2016,1000000
Pawan Suyal,India,33,,bowler,right-handed-bat,left-arm-medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9.44,75.5,48.0,delhi-capitals,2016,1000000
Mohit Sharma,India,34,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,12,122,8.13,104.27,0,8,4,6,8.04,30.83,23.0,92,8.45,26.85,19.07,punjab-kings,2016,65000000
Kyle Abbott,South Africa,35,,bowler,right-handed-bat,right-arm-fast-medium,4,23,11.5,115.0,0,2,0,2,13,13.0,162.5,0,0,1,26,7.97,22.27,16.77,2,11.06,88.5,48.0,punjab-kings,2016,21000000
KC Cariappa,India,28,,bowler,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,2,24,8.0,114.29,0,0,2,-,-,-,-,8,9.67,43.5,27.0,punjab-kings,2016,8000000
Marcus Stoinis,Australia,33,,batting-allrounder,right-handed-bat,right-arm-medium,15,803,29.74,147.34,2,69,35,18,1070,26.1,137.36,4,83,48,18,8.61,34.11,23.78,34,9.61,30.82,19.24,punjab-kings,2016,5500000
Farhaan Behardien,South Africa,39,,batting-allrounder,right-handed-bat,right-arm-fast-medium,14,518,32.38,128.22,1,37,16,1,14,7.0,107.69,0,2,0,3,5.4,9.0,10.0,-,-,-,-,punjab-kings,2016,3000000
Pardeep Sahu,India,37,,batting-allrounder,right-handed-bat,right-arm-legbreak,-,-,-,-,-,-,-,1,19,19.0,146.15,0,1,1,-,-,-,-,3,8.34,48.67,35.0,punjab-kings,2016,1000000
Swapnil Singh,India,31,,bowling-allrounder,right-handed-bat,left-arm-orthodox,-,-,-,-,-,-,-,0,12,4.0,60.0,0,0,0,-,-,-,-,1,9.0,90.0,60.0,punjab-kings,2016,1000000
Jaydev Unadkat,India,31,,bowler,right-handed-bat,left-arm-fast-medium,-,-,-,-,-,-,-,14,164,13.67,123.31,0,13,6,14,8.68,21.5,14.86,91,8.79,30.53,20.84,kolkata-knight-riders,2016,16000000
Ankit Rajpoot,India,28,,bowler,right-handed-bat,right-arm-fast-medium,-,-,-,-,-,-,-,2,26,5.2,63.41,0,2,1,-,-,-,-,24,9.23,33.92,22.04,kolkata-knight-riders,2016,15000000
